home, homescore, awayscore, away, date, stadium
Almeria, 2, 2, Levante, "Saturday, September 21, 2013"," Juegos Mediterraneos (10,000)"
Rayo Vallecano, 0, 4, Barcelona, "Saturday, September 21, 2013"," Campo de Vallecas (12,000)"
Real Valladolid, 0, 2, Atletico Madrid, "Saturday, September 21, 2013"," Nuevo Jose Zorilla Stadium (16,900)"
Osasuna, 2, 1, Elche, "Friday, September 20, 2013"," El Sadar (13,000)"
Elche, 0, 0, Real Valladolid, "Monday, September 16, 2013"," Manuel Martinez Valero (24,987)"
Athletic Bilbao, 3, 2, Celta Vigo, "Monday, September 16, 2013"," San Mames Barria (33,000)"
Granada, 0, 1, Espanyol, "Sunday, September 15, 2013"," Los Carmenes (13,300)"
Getafe, 2, 1, Osasuna, "Sunday, September 15, 2013"," Coliseum Alfonso Perez (6,500)"
Malaga, 5, 0, Rayo Vallecano, "Sunday, September 15, 2013"," La Rosaleda (24,800)"
Real Betis, 3, 1, Valencia, "Sunday, September 15, 2013"," Benito Villamarin (38,000)"
Atletico Madrid, 4, 2, Almeria, "Saturday, September 14, 2013"," Vicente Calderon (48,000)"
Levante, 0, 0, Real Sociedad, "Saturday, September 14, 2013"," Ciutat de Valencia (13,000)"
Barcelona, 3, 2, Sevilla FC, "Saturday, September 14, 2013"," Camp Nou (79,000)"
Villarreal, 2, 2, Real Madrid, "Saturday, September 14, 2013"," El Madrigal (22,000)"
Real Madrid, 3, 1, Athletic Bilbao, "Sunday, September 1, 2013"," Santiago Bernabeu (72,231)"
Espanyol, 0, 0, Real Betis, "Sunday, September 1, 2013"," Estadi Cornella-El Prat (23,810)"
Real Sociedad, 1, 2, Atletico Madrid, "Sunday, September 1, 2013"," Anoeta (27,604)"
Sevilla FC, 2, 2, Malaga, "Sunday, September 1, 2013"," Estadio Ramon Sanchez Pizjuan (35,000)"
Valencia, 2, 3, Barcelona, "Sunday, September 1, 2013"," Mestalla (45,000)"
Celta Vigo, 1, 1, Granada, "Saturday, August 31, 2013"," Balaidos (23,000)"
Real Valladolid, 1, 0, Getafe, "Saturday, August 31, 2013"," Nuevo Jose Zorilla Stadium (20,000)"
Osasuna, 0, 3, Villarreal, "Saturday, August 31, 2013"," El Sadar (12,474)"
Almeria, 2, 2, Elche, "Friday, August 30, 2013"," Juegos Mediterraneos (8,000)"
Rayo Vallecano, 1, 2, Levante, "Friday, August 30, 2013"," Campo de Vallecas (6,500)"
Granada, 0, 1, Real Madrid, "Monday, August 26, 2013"," Los Carmenes (20,000)"
Atletico Madrid, 5, 0, Rayo Vallecano, "Sunday, August 25, 2013"," Vicente Calderon (41,800)"
Levante, 0, 0, Sevilla FC, "Sunday, August 25, 2013"," Ciutat de Valencia (8,342)"
Malaga, 0, 1, Barcelona, "Sunday, August 25, 2013"," La Rosaleda (28,000)"
Real Betis, 1, 2, Celta Vigo, "Sunday, August 25, 2013"," Benito Villamarin (29,643)"
Elche, 1, 1, Real Sociedad, "Saturday, August 24, 2013"," Manuel Martinez Valero (29,000)"
Espanyol, 3, 1, Valencia, "Saturday, August 24, 2013"," Estadi Cornella-El Prat (27,000)"
Villarreal, 2, 1, Real Valladolid, "Saturday, August 24, 2013"," El Madrigal (13,000)"
Getafe, 2, 2, Almeria, "Friday, August 23, 2013"," Coliseum Alfonso Perez (4,000)"
Athletic Bilbao, 2, 0, Osasuna, "Friday, August 23, 2013"," San Mames Barria (20,000)"
Rayo Vallecano, 3, 0, Elche, "Monday, August 19, 2013"," Campo de Vallecas (9,000)"
Almeria, 2, 3, Villarreal, "Monday, August 19, 2013"," Juegos Mediterraneos (7,000)"
Celta Vigo, 2, 2, Espanyol, "Monday, August 19, 2013"," Balaidos (21,672)"
Barcelona, 7, 0, Levante, "Sunday, August 18, 2013"," Camp Nou (73,812)"
Osasuna, 1, 2, Granada, "Sunday, August 18, 2013"," El Sadar (15,000)"
Real Madrid, 2, 1, Real Betis, "Sunday, August 18, 2013"," Santiago Bernabeu (76,870)"
Sevilla FC, 1, 3, Atletico Madrid, "Sunday, August 18, 2013"," Estadio Ramon Sanchez Pizjuan (35,000)"
Real Sociedad, 2, 0, Getafe, "Saturday, August 17, 2013"," Anoeta (21,000)"
Real Valladolid, 1, 2, Athletic Bilbao, "Saturday, August 17, 2013"," Nuevo Jose Zorilla Stadium (20,000)"
Valencia, 1, 0, Malaga, "Saturday, August 17, 2013"," Mestalla (40,000)"
